Team,PA,BB%,K%,BB/K,SB,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+
BOS,13652,8.10%,19.40%,0.42,0,0.338,0.451,0.789,0.177,1.1,0.315,1873,221.1,0.337,107
HOU,15651,8.80%,19.70%,0.45,0,0.336,0.451,0.787,0.186,0.9,0.298,2138,243.1,0.336,114
NYY,13735,8.60%,24.40%,0.35,0,0.329,0.457,0.786,0.197,0.6,0.306,1870,200.3,0.335,111
LAD,11333,8.80%,22.20%,0.4,0,0.33,0.429,0.759,0.176,1.1,0.298,1445,73.2,0.326,104
TOR,15577,8.10%,21.40%,0.38,0,0.318,0.443,0.762,0.192,0.6,0.286,1986,105.5,0.326,103
MIN,10009,8.20%,25.70%,0.32,0,0.311,0.442,0.754,0.201,0.9,0.288,1243,31.2,0.321,101
COL,12598,7.70%,23.90%,0.32,0,0.316,0.425,0.741,0.171,1.4,0.308,1505,-17.9,0.317,81
LAA,15249,7.90%,18.20%,0.44,0,0.323,0.414,0.737,0.159,0.9,0.287,1833,-7.6,0.317,99
SEA,10497,7.50%,25.10%,0.3,0,0.314,0.422,0.735,0.175,0.6,0.299,1257,-15.5,0.316,102
OAK,13848,7.80%,24.00%,0.33,0,0.312,0.424,0.736,0.182,0.9,0.288,1656,-22.9,0.316,101
ATL,12190,7.60%,25.30%,0.3,0,0.314,0.422,0.736,0.176,0.6,0.302,1440,-40.3,0.315,91
BAL,14488,6.10%,21.80%,0.28,0,0.308,0.427,0.734,0.17,0.6,0.298,1705,-43.4,0.314,95
STL,16608,7.50%,22.60%,0.33,0,0.314,0.413,0.727,0.163,0.6,0.297,1920,-89.2,0.312,95
WSN,13586,7.60%,21.90%,0.35,0,0.315,0.409,0.724,0.159,1.1,0.297,1559,-87.1,0.311,89
CHC,12050,7.10%,26.30%,0.27,0,0.31,0.415,0.725,0.17,1.1,0.306,1379,-79.6,0.311,91
CHW,13306,5.90%,24.80%,0.24,0,0.304,0.422,0.726,0.171,0.9,0.304,1528,-82.6,0.31,95
TBR,11863,7.70%,24.60%,0.31,0,0.31,0.403,0.714,0.16,0.9,0.297,1337,-97.1,0.308,96
ARI,11880,7.60%,24.10%,0.31,0,0.309,0.403,0.712,0.16,1.1,0.298,1305,-128.4,0.306,84
MIL,13224,7.40%,25.70%,0.29,0,0.305,0.403,0.708,0.163,0.9,0.296,1441,-156.2,0.305,86
TEX,11128,7.10%,22.60%,0.31,0,0.308,0.392,0.701,0.146,1.1,0.297,1209,-136.9,0.303,82
CIN,12877,6.90%,24.40%,0.28,0,0.302,0.403,0.705,0.164,1.1,0.288,1385,-174.7,0.303,81
KCR,13523,5.90%,21.50%,0.27,0,0.304,0.399,0.703,0.146,1.1,0.302,1462,-176.2,0.302,86
MIA,15630,6.80%,23.10%,0.29,0,0.308,0.388,0.695,0.138,0.9,0.305,1654,-238.3,0.3,88
DET,15115,6.70%,23.80%,0.28,0,0.3,0.398,0.698,0.155,1.1,0.296,1599,-231.1,0.3,86
NYM,10823,6.70%,23.20%,0.29,0,0.301,0.397,0.698,0.158,0.9,0.284,1140,-172.9,0.3,89
PHI,11803,7.40%,24.60%,0.3,0,0.299,0.398,0.697,0.162,1.1,0.286,1241,-190.8,0.3,83
SDP,13452,7.30%,26.10%,0.28,0,0.29,0.4,0.69,0.171,1.1,0.278,1369,-262.9,0.295,84
CLE,8212,7.60%,24.90%,0.3,0,0.295,0.386,0.681,0.155,0.9,0.281,835,-158.6,0.295,81
SFG,10593,7.40%,23.70%,0.31,0,0.303,0.367,0.67,0.128,1.1,0.299,1039,-243.1,0.291,81
PIT,13296,7.10%,21.30%,0.33,0,0.305,0.364,0.668,0.123,1.1,0.292,1287,-316.6,0.291,78
